,Academic_Year,City_Name_En,Number_of_Training_centers
0,2021,Riyadh,53
1,2020,Riyadh,52
2,2018,Riyadh,51
3,2019,Riyadh,50
4,2017,Riyadh,50
5,2016,Riyadh,45
10,2017,Jeddah,32
11,2021,Jeddah,31
12,2016,Jeddah,30
13,2019,Jeddah,29
16,2018,Jeddah,29
17,2020,Jeddah,28
23,2022,Riyadh,23
28,2021,Madinah,20
34,2018,Madinah,17
35,2019,Madinah,17
36,2020,Madinah,17
38,2022,Jeddah,16
39,2021,Makkah,16
41,2016,Madinah,15
42,2017,Makkah,15
43,2019,Makkah,14
44,2017,Madinah,14
45,2016,Makkah,14
47,2020,Makkah,14
54,2019,Dammam,12
55,2018,Dammam,12
56,2021,Taif,12
57,2018,Makkah,12
58,2017,Dammam,12
62,2021,Dammam,11
63,2020,Taif,11
64,2016,Taif,11
65,2018,Taif,11
66,2020,Dammam,11
68,2016,Dammam,11
71,2017,Taif,11
73,2019,Taif,11
74,2018,Al-Ahsa,10
77,2020,Al-Ahsa,10
80,2021,Al-Ahsa,10
81,2019,Al-Ahsa,10
96,2021,Tabuk,9
99,2020,Buraidah,8
101,2019,Tabuk,8
105,2017,Buraidah,8
107,2021,Buraidah,8
110,2018,Buraidah,7
112,2016,Al-Ahsa,7
115,2019,Buraidah,7
118,2020,Tabuk,7
119,2016,Unknown - Saudi Arabia,7
120,2020,Unknown - Saudi Arabia,7
123,2019,Unknown - Saudi Arabia,6
128,2021,Unknown - Saudi Arabia,6
130,2016,Buraidah,6
132,2017,Al-Ahsa,6
134,2022,Dammam,6
139,2017,Unknown - Saudi Arabia,5
141,2022,Buraidah,5
144,2016,Dhahran,5
146,2022,Taif,5
149,2018,Tabuk,5
150,2021,Hail,5
152,2017,Tabuk,5
155,2018,Unknown - Saudi Arabia,5
156,2017,Dhahran,5
159,2020,Hail,5
160,2018,Dhahran,4
162,2019,Hail,4
163,2022,Dhahran,4
165,2019,Dhahran,4
166,2018,Hail,4
167,2022,Makkah,4
169,2022,Madinah,4
176,2017,Hail,4
178,2020,Alkharj  ,4
182,2021,Dhahran,4
183,2020,Dhahran,4
185,2021,Yanbu,4
186,2021,Arar,4
187,2021,Alkharj  ,4
190,2018,Hofuf,3
195,2017,Arar,3
196,2016,Jouf,3
197,2016,Manama,3
200,2017,Abha,3
202,2016,Hail,3
206,2017,Manama,3
209,2016,Arar,3
211,2016,Tabuk,3
214,2017,Yanbu,3
216,2018,Abha,3
217,2018,Alkharj  ,3
218,2018,Arar,3
220,2022,Unknown - Saudi Arabia,3
223,2019,Yanbu,3
224,2020,Manama,3
225,2022,Al-Ahsa,3
226,2019,Hofuf,3
227,2020,Yanbu,3
228,2020,Jouf,3
229,2019,Manama,3
230,2019,Alkharj  ,3
233,2018,Yanbu,3
234,2020,Hofuf,3
235,2019,Abha,3
236,2021,Jouf,3
237,2021,Manama,3
238,2020,Arar,3
239,2021,Hofuf,3
240,2018,Manama,3
244,2017,Alkharj  ,2
246,2018,Jubail,2
248,2022,Alkharj  ,2
249,2020,Jubail,2
252,2020,Dubai,2
259,2020,Jazan,2
261,2022,Alquriyat,2
263,2017,Dubai,2
268,2021,Alquriyat,2
269,2021,Jubail,2
275,2016,Jubail,2
278,2016,Dubai,2
279,2021,Hafr Albatin,2
280,2021,Dubai,2
286,2021,Abha,2
290,2022,Abha,2
297,2016,Yanbu,2
301,2022,Dubai,2
304,2019,Dubai,2
309,2019,Arar,2
323,2022,Tabuk,2
324,2018,Dubai,2
327,2018,Najran,2
329,2018,Jazan,2
330,2018,Jouf,2
334,2016,Hofuf,2
338,2017,Jubail,2
341,2020,Abha,2
342,2017,Jouf,2
344,2019,Najran,2
348,2016,Abha,2
350,2019,Jubail,2
351,2016,Alkharj  ,2
353,2017,Hofuf,2
354,2017,Najran,2
356,2019,Jouf,2
357,2019,Jazan,2
358,2021,Najran,1
359,2016,Alqatif  ,1
360,2022,Arar,1
361,2022,Unaizah,1
362,2022,Najran,1
363,2016,Hafr Albatin,1
364,2022,Jouf,1
365,2022,Hofuf,1
366,2016,Albahah,1
368,2021,Sakaka,1
369,2022,Khobar,1
370,2022,Khamis Mushait,1
371,2022,Jazan,1
372,2021,Unknown,1
373,2022,Jubail,1
375,2022,Albahah,1
376,2016,Bisha,1
377,2022,Hail,1
378,2016,Alquriyat,1
379,2021,Unaizah,1
380,2020,Khobar,1
381,2021,Khobar,1
382,2020,Alqatif  ,1
383,2017,Jazan,1
384,2017,Khamis Mushait,1
385,2019,Unaizah,1
386,2017,Khobar,1
387,2019,Sakaka,1
388,2019,Khobar,1
389,2019,Khamis Mushait,1
390,2019,Hafr Albatin,1
391,2017,Unaizah,1
392,2017,Unknown,1
393,2019,Bisha,1
394,2019,Alrass,1
395,2019,Alquriyat,1
396,2019,Alqatif  ,1
397,2018,Albahah,1
398,2018,Alqatif  ,1
399,2018,Alquriyat,1
400,2019,Albahah,1
401,2018,Bisha,1
402,2018,Unknown,1
403,2018,Unaizah,1
404,2018,Hafr Albatin,1
405,2018,Khamis Mushait,1
406,2020,Albahah,1
407,2020,Alquriyat,1
408,2021,Khamis Mushait,1
409,2020,Alrass,1
410,2016,Jazan,1
411,2021,Jazan,1
412,2016,Khamis Mushait,1
413,2016,Khobar,1
414,2021,Bisha,1
415,2021,Alrass,1
416,2016,Najran,1
417,2021,Alqatif  ,1
418,2021,Albahah,1
419,2016,Unaizah,1
420,2020,Unknown,1
421,2020,Unaizah,1
422,2016,Unknown,1
423,2020,Sakaka,1
424,2020,Najran,1
425,2017,Albahah,1
426,2017,Alqatif  ,1
427,2020,Khamis Mushait,1
428,2017,Alquriyat,1
429,2017,Bisha,1
430,2020,Hafr Albatin,1
431,2020,Bisha,1
432,2017,Hafr Albatin,1
433,2018,Khobar,1
